regime,months,strategy,cum_return,sharpe,max_drawdown
Full 2013-2026,158,robust,0.23558555290685135,0.33449196718531116,-0.1829506895219596
Full 2013-2026,158,equal_weight,0.9398196277677715,0.6215783913641841,-0.19564084911179958
Full 2013-2026,158,markowitz_lw,0.25458638815541046,0.2297371440585212,-0.25902723234378533
Full 2013-2026,158,markowitz_naive,0.23185561865322812,0.21635410966408816,-0.2602285370712323
Bull 2013-2019,81,robust,0.1777394968532866,0.5755019532190904,-0.05355203800145247
Bull 2013-2019,81,equal_weight,0.30653701855341975,0.6651452720682117,-0.08607384934507134
Bull 2013-2019,81,markowitz_lw,0.15013812293466944,0.3023788539463664,-0.12915957838827452
Bull 2013-2019,81,markowitz_naive,0.14606868141273455,0.29906681992489986,-0.12654829466098405
Post-2020,77,robust,0.049116172301362004,0.15459760582568646,-0.18295068952195925
Post-2020,77,equal_weight,0.4847031505586539,0.6274318283817474,-0.19564084911179924
Post-2020,77,markowitz_lw,0.09081367110433036,0.1789067698238303,-0.23428491784123662
Post-2020,77,markowitz_naive,0.07485322531870087,0.1583150336781918,-0.23638852743781558
COVID crash 2020,3,robust,-0.009730840204198454,,
COVID crash 2020,3,equal_weight,-0.021212800024687284,,
COVID crash 2020,3,markowitz_lw,-0.08823226440531096,,
COVID crash 2020,3,markowitz_naive,-0.08909839395095431,,
Rate shock 2022,12,robust,-0.0854958338627183,,-0.14857618531628214
Rate shock 2022,12,equal_weight,-0.06296402197413353,,-0.1641303135890081
Rate shock 2022,12,markowitz_lw,-0.0794696490260175,,-0.18598811943664761
Rate shock 2022,12,markowitz_naive,-0.07729304480132748,,-0.18395687307158803
